 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;100 / 112;RİVET;12 mm;19;?;?;;;;;;
;"101/105;109";RİVET;05 mm / 09  mm;8 Boy / 14 Boy ;?;?;;;;;;
;"102/008;010;
012;014;016;
018;020:022;
025";ALTTAN DİKME DÜĞME;"08 mm / 10 mm / 12 mm / 14 mm / 
16 mm / 18 mm / 20 mm / 22 mm / 25 mm";13 Boy / 16 Boy / 19 Boy / 22 Boy / 26 Boy / 29 Boy / 32 Boy / 35 Boy / 40 Boy ;?;?;;;;;;
;"103/104;106;
108;110;112;
114;208;210;
212;214";RİVET;"04 mm / 06 mm / 08 mm / 10 mm /
12 mm / 14 mm";6 Boy / 10 Boy / 13 Boy / 16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"104/106:108;
110;112;114
208;210;212;
214;712";RİVET;"06 mm / 08 mm / 10 mm /
12 mm / 14 mm";10 Boy / 13 Boy / 16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"104/106:108;
110;112;114
208;210;212;
214;712";ÇIT ÇIT;12 mm;19;?;?;;;;;;
;"105/211;
618;620";RİVET;11 mm;18;?;?;;;;;;
;"105/211;
618;620";ÇAKMA DÜĞME;18 mm / 20 mm;29 Boy / 32 Boy ;?;?;;;;;;
;"106/214;
114;430";RİVET;14 mm;22;?;?;;;;;;
;"107/624;618";ÇAKMA DÜĞME;18 mm / 24 mm;29 Boy / 38 Boy ;?;?;;;;;;
;"108/109;112;
617;620;
015;017;023";RİVET;09 mm / 12 mm;14 Boy / 19 Boy ;?;?;;;;;;
;"108/109;112;
617;620;
015;017;023";ALTTAN DİKME DÜĞME;15 mm / 17 mm / 23 mm;24 Boy / 27 Boy / 37 Boy ;?;?;;;;;;
;"108/109;112;
617;620;
015;017;023";ÇAKMA DÜĞME;17 mm / 20 mm;27 Boy / 32 Boy ;?;?;;;;;;
;"109/110;209;
210;214;714;
614;616;618;
418;420;622;
624;014;016;
210.5;212.5;620T";RİVET;09 mm / 10 mm / 11 mm / 13 mm / 14 mm;14 Boy / 16 Boy / 18 Boy / 21 Boy / 22 Boy ;?;?;;;;;;
;"109/110;209;
210;214;714;
614;616;618;
418;420;622;
624;014;016;
210.5;212.5;620T";ALTTAN DİKME DÜĞME;14 mm / 16 mm;22 Boy / 26 Boy ;?;?;;;;;;
;"109/110;209;
210;214;714;
614;616;618;
418;420;622;
624;014;016;
210.5;212.5;620T";ÇAKMA DÜĞME;14 mm / 16 mm / 18 mm / 20T mm;22 Boy / 26 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;"109/110;209;
210;214;714;
614;616;618;
418;420;622;
624;014;016;
210.5;212.5;620T";ÇIT ÇIT;14 mm;22;?;?;;;;;;
;"110/108;112;
618;620";RİVET;08 mm / 12 mm;13 Boy / 19 Boy ;?;?;;;;;;
;"110/108;112;
618;620";ÇAKMA DÜĞME;18 mm / 20 mm ;29 Boy / 32 Boy ;?;?;;;;;;
;"111/221.5;
212.5;112.5;
712.5";RİVET;13 mm / 22 mm;21 Boy / 35 Boy ;?;?;;;;;;
;"111/221.5;
212.5;112.5;
712.5";ÇIT ÇIT;13 mm;21;?;?;;;;;;
;"112/006 ( 106 ) 
";RİVET;06 mm;10;?;?;;;;;;
;"112/006 ( 106 ) 
";ALTTAN DİKME DÜĞME;06 mm;10;?;?;;;;;;
;"113/618;624";ÇAKMA DÜĞME;18 mm / 24 mm;29 Boy / 38 Boy ;?;?;;;;;;
;"114/620;624";ÇAKMA DÜĞME;20 mm / 24 mm;32 Boy / 38 Boy ;?;?;;;;;;
;"115/717;617;
217;024;023;
027.5";RİVET;17 mm;27;?;?;;;;;;
;"115/717;617;
217;024;023;
027.5";ÇIT ÇIT;17 mm;27;?;?;;;;;;
;"115/717;617;
217;024;023;
027.5";ÇAKMA DÜĞME;17 mm;27;?;?;;;;;;
;"115/717;617;
217;024;023;
027.5";ALTTAN DİKME DÜĞME;23 mm / 24 mm / 28 mm;37 Boy / 38 Boy / 45 Boy ;?;?;;;;;;
;116/212;RİVET;12 mm;19;?;?;;;;;;
;"117/213;115;
620;624;023;
028;025";RİVET;13 mm / 15 mm;21 Boy / 24 Boy ;?;?;;;;;;
;"117/213;115;
620;624;023;
028;025";ALTTAN DİKME DÜĞME;23 mm / 25 mm / 28 mm;37 Boy / 40 Boy / 45 Boy ;?;?;;;;;;
