stok_kodu,kategori_adi,urun_tipi,parent_stok_kodu,varyant_adi,olcu_mm,boy_ligne,aciklama,aktif_mi
100012,ALTTAN DİKME DÜĞME,ANA_URUN,,,12.0,19.0,,True
1000_108208,RİVET,ANA_URUN,,,8.0,13.0,,True
1000_108212,RİVET,ANA_URUN,,,12.0,19.0,,True
1000_108217,RİVET,ANA_URUN,,,17.0,27.0,,True
1001013,ALTTAN DİKME DÜĞME,ANA_URUN,,,13.0,21.0,,True
1001020,ALTTAN DİKME DÜĞME,ANA_URUN,,,20.0,32.0,,True
100112,RİVET,ANA_URUN,,,12.0,19.0,,True
1002909,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,9.0,14.0,,True
1005910,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,10.0,16.0,,True
1006911,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,11.0,18.0,,True
1007_010,TOKA,ANA_URUN,,,10.0,16.0,,True
1008010,TOKA,ANA_URUN,,,10.0,16.0,,True
1010008,ALTTAN DİKME DÜĞME,ANA_URUN,,,8.0,13.0,,True
1011007,ALTTAN DİKME DÜĞME,ANA_URUN,,,7.0,11.0,,True
101105,RİVET,ANA_URUN,,,5.0,8.0,,True
101109,RİVET,ANA_URUN,,,9.0,14.0,,True
1012618,ÇAKMA DÜĞME,ANA_URUN,,,18.0,29.0,,True
1013917,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,17.0,27.0,,True
1014809,SALLANTI,ANA_URUN,,,9.0,14.0,,True
10158012.5,BAĞ UCU,ANA_URUN,,,13.0,21.0,,True
1015808,BAĞ UCU,ANA_URUN,,,8.0,13.0,,True
1016809,SALLANTI,ANA_URUN,,,9.0,14.0,,True
1017809,SALLANTI,ANA_URUN,,,9.0,14.0,,True
1018808,SALLANTI,ANA_URUN,,,8.0,13.0,,True
1019207,RİVET,ANA_URUN,,,7.0,11.0,,True
102008,ALTTAN DİKME DÜĞME,ANA_URUN,,,8.0,13.0,,True
102010,ALTTAN DİKME DÜĞME,ANA_URUN,,,10.0,16.0,,True
102012,ALTTAN DİKME DÜĞME,ANA_URUN,,,12.0,19.0,,True
102014,ALTTAN DİKME DÜĞME,ANA_URUN,,,14.0,22.0,,True
102016,ALTTAN DİKME DÜĞME,ANA_URUN,,,16.0,26.0,,True
102018,ALTTAN DİKME DÜĞME,ANA_URUN,,,18.0,29.0,,True
102020:022,ALTTAN DİKME DÜĞME,ANA_URUN,,,20.0,32.0,,True
102025,ALTTAN DİKME DÜĞME,ANA_URUN,,,25.0,40.0,,True
1020920,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,20.0,32.0,,True
1021112,RİVET,ANA_URUN,,,12.0,19.0,,True
1022011,TOKA,ANA_URUN,,,11.0,18.0,,True
1023009,TOKA,ANA_URUN,,,9.0,14.0,,True
1024035,TOKA,ANA_URUN,,,35.0,56.0,,True
1025019,TOKA,ANA_URUN,,,19.0,30.0,,True
1026033,TOKA,ANA_URUN,,,33.0,53.0,,True
1027007,ALTTAN DİKME DÜĞME,ANA_URUN,,,7.0,11.0,,True
1028028,TOKA,ANA_URUN,,,28.0,45.0,,True
1029033,TOKA,ANA_URUN,,,33.0,53.0,,True
1030013,ALTTAN DİKME DÜĞME,ANA_URUN,,,13.0,21.0,,True
1031017,TOKA,ANA_URUN,,,17.0,27.0,,True
103104,RİVET,ANA_URUN,,,4.0,6.0,,True
103106,RİVET,ANA_URUN,,,6.0,10.0,,True
103108,RİVET,ANA_URUN,,,8.0,13.0,,True
103110,RİVET,ANA_URUN,,,10.0,16.0,,True
103112,RİVET,ANA_URUN,,,12.0,19.0,,True
103114,RİVET,ANA_URUN,,,14.0,22.0,,True
1032011,ALTTAN DİKME DÜĞME,ANA_URUN,,,11.0,18.0,,True
103208,RİVET,ANA_URUN,,,8.0,13.0,,True
103210,RİVET,ANA_URUN,,,10.0,16.0,,True
103212,RİVET,ANA_URUN,,,12.0,19.0,,True
103214,RİVET,ANA_URUN,,,14.0,22.0,,True
1033207,RİVET,ANA_URUN,,,7.0,11.0,,True
1034010,ALTTAN DİKME DÜĞME,ANA_URUN,,,10.0,16.0,,True
1035030,TOKA,ANA_URUN,,,30.0,48.0,,True
1036017,TOKA,ANA_URUN,,,17.0,27.0,,True
1037010,TOKA,ANA_URUN,,,10.0,16.0,,True
1038053,TOKA,ANA_URUN,,,53.0,85.0,,True
1039024,TOKA,ANA_URUN,,,24.0,38.0,,True
1040025,TOKA,ANA_URUN,,,25.0,40.0,,True
1041030,TOKA,ANA_URUN,,,30.0,48.0,,True
104106:108,RİVET,ANA_URUN,,,6.0,10.0,,True
104110,RİVET,ANA_URUN,,,10.0,16.0,,True
104112,RİVET,ANA_URUN,,,12.0,19.0,,True
104114,RİVET,ANA_URUN,,,14.0,22.0,,True
1042014,TOKA,ANA_URUN,,,14.0,22.0,,True
104208,RİVET,ANA_URUN,,,8.0,13.0,,True
104210,RİVET,ANA_URUN,,,10.0,16.0,,True
104212,RİVET,ANA_URUN,,,12.0,19.0,,True
104214,RİVET,ANA_URUN,,,14.0,22.0,,True
1043010,ALTTAN DİKME DÜĞME,ANA_URUN,,,10.0,16.0,,True
1044009,ALTTAN DİKME DÜĞME,ANA_URUN,,,9.0,14.0,,True
1045025,TOKA,ANA_URUN,,,25.0,40.0,,True
1046046,ALTTAN DİKME DÜĞME,ANA_URUN,,,46.0,74.0,,True
104712,ÇIT ÇIT,ANA_URUN,,,12.0,19.0,,True
1047919,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,19.0,30.0,,True
1048824,SALLANTI,ANA_URUN,,,24.0,38.0,,True
1049906,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,6.0,10.0,,True
1050907.5,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,8.0,13.0,,True
1051911,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,11.0,18.0,,True
1052030,TOKA,ANA_URUN,,,30.0,48.0,,True
105211,RİVET,ANA_URUN,,,11.0,18.0,,True
1053804,SALLANTI,ANA_URUN,,,4.0,6.0,,True
1054908.5,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,9.0,14.0,,True
1055007,TOKA,ANA_URUN,,,7.0,11.0,,True
105618,ÇAKMA DÜĞME,ANA_URUN,,,18.0,29.0,,True
105620,ÇAKMA DÜĞME,ANA_URUN,,,20.0,32.0,,True
1056911,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,11.0,18.0,,True
1057810,SALLANTI,ANA_URUN,,,10.0,16.0,,True
1058922,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,22.0,35.0,,True
1059014,TOKA,ANA_URUN,,,14.0,22.0,,True
1060020,TOKA,ANA_URUN,,,20.0,32.0,,True
1061020,TOKA,ANA_URUN,,,20.0,32.0,,True
106114,RİVET,ANA_URUN,,,14.0,22.0,,True
1062030,TOKA,ANA_URUN,,,30.0,48.0,,True
106214,RİVET,ANA_URUN,,,14.0,22.0,,True
1063063,TOKA,ANA_URUN,,,63.0,101.0,,True
1064-P,PUL,ANA_URUN,,,64.0,,,True
1065920,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,20.0,32.0,,True
1066066,TOKA,ANA_URUN,,,66.0,106.0,,True
1067209.5,RİVET,ANA_URUN,,,10.0,16.0,,True
1068119,RİVET,ANA_URUN,,,19.0,30.0,,True
1069024,TOKA,ANA_URUN,,,24.0,28.0,,True
1069036,TOKA,ANA_URUN,,,36.0,58.0,,True
1070109,RİVET,ANA_URUN,,,9.0,14.0,,True
1070812,SALLANTI,ANA_URUN,,,12.0,19.0,,True
1071809,SALLANTI,ANA_URUN,,,9.0,14.0,,True
1072010,ALTTAN DİKME DÜĞME,ANA_URUN,,,10.0,16.0,,True
1073910,ÜSTTEN DİKME DÜĞME,ANA_URUN,,,10.0,16.0,,True
1074205,RİVET,ANA_URUN,,,5.0,8.0,,True
1075009,ALTTAN DİKME DÜĞME,ANA_URUN,,,9.0,14.0,,True
1076005.3,ALTTAN DİKME DÜĞME,ANA_URUN,,,6.0,10.0,,True
107618,ÇAKMA DÜĞME,ANA_URUN,,,18.0,29.0,,True
107624,ÇAKMA DÜĞME,ANA_URUN,,,24.0,38.0,,True
1077010,ALTTAN DİKME DÜĞME,ANA_URUN,,,10.0,,,True
1078110,TOKA,ANA_URUN,,,10.0,16.0,,True
1079,,ANA_URUN,,,,,,True
108006,SALLANTI,ANA_URUN,,,6.0,,,True
108015,ALTTAN DİKME DÜĞME,ANA_URUN,,,15.0,24.0,,True
108023,ALTTAN DİKME DÜĞME,ANA_URUN,,,23.0,37.0,,True
108034,SALLANTI,ANA_URUN,,,34.0,54.0,,True
1081065,SALLANTI,ANA_URUN,,,65.0,,,True
108109,RİVET,ANA_URUN,,,9.0,14.0,,True
108112,RİVET,ANA_URUN,,,12.0,19.0,,True
1082030,TOKA,ANA_URUN,,,30.0,48.0,,True
1083040,TOKA,ANA_URUN,,,40.0,,,True
1083050,TOKA,ANA_URUN,,,50.0,80.0,,True
1084_020,TOKA,ANA_URUN,,,20.0,32.0,,True
1085012,TOKA,ANA_URUN,,,12.0,19.0,,True
1086008,TOKA,ANA_URUN,,,8.0,13.0,,True
108617,ÇAKMA DÜĞME,ANA_URUN,,,17.0,27.0,,True
108620,ÇAKMA DÜĞME,ANA_URUN,,,20.0,32.0,,True
1087007,TOKA,ANA_URUN,,,7.0,11.0,,True
1088017,TOKA,ANA_URUN,,,17.0,27.0,,True
1089017,TOKA,ANA_URUN,,,17.0,,,True
