arama_metni,kaynak,sebep
195/,karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
219/ ,karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
237/,karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
248/,karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
293/ ,karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
879_915 :912,karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"880_29,5",karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"916_207,5*12",karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"957207*7,8",karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"957207*7,8",karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"958209*5,8",karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"984_017X13,5",karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"996008,5
",karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"1250105,5 
",karisik_cozulemeyen,TEK_KOD_KARISIK_LISTEDE
"106/214;
114;430 | 430",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"109/110;209;
210;214;714;
614;616;618;
418;420;622;
624;014;016;
210.5;212.5;620T | 622",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"109/110;209;
210;214;714;
614;616;618;
418;420;622;
624;014;016;
210.5;212.5;620T | 624",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"109/110;209;
210;214;714;
614;616;618;
418;420;622;
624;014;016;
210.5;212.5;620T | 210.5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"109/110;209;
210;214;714;
614;616;618;
418;420;622;
624;014;016;
210.5;212.5;620T | 212.5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"111/221.5;
212.5;112.5;
712.5 | 221.5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"111/221.5;
212.5;112.5;
712.5 | 212.5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"111/221.5;
212.5;112.5;
712.5 | 112.5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"111/221.5;
212.5;112.5;
712.5 | 712.5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"115/717;617;
217;024;023;
027.5 | 027.5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"129/211;714;
717;207,5 | 207,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"135/618;214,5;
214,5-E;618-E; | 214,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"135/618;214,5;
214,5-E;618-E; | 214,5-E",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"150/206;208;110;115;
008;D;008;010;014;
715;617 | D",karisik_cozulemeyen,TOKEN_COZULEMEDI
"155/012;014;016;020
KUŞGÖZÜ 5 OLMALI | KUŞGÖZÜ 5 OLMALI",karisik_cozulemeyen,TOKEN_COZULEMEDI
"160/000
 | 000",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"166/212;617;020;022;
25;28 | 25",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"166/212;617;020;022;
25;28 | 28",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"1149010620;017;020;714
;012;212-t;012
 | 714",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"169/215;712;715;
720;625 ; 630 ; 012 ;
011,3 ;008 | 011,3",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
180/310;312;617;620 | 310,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
180/310;312;617;620 | 312,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"200/020;025;030;035;
045;024-T;028-T
048-T;040-b;025-
b;050-y;025-y;040-d | b",karisik_cozulemeyen,TOKEN_COZULEMEDI
"218/020-K; 218-30X20 /
218-30X20/41;020;025;
030;040;050;060 | 218-30X20",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"218/020-K; 218-30X20 /
218-30X20/41;020;025;
030;040;050;060 | 218-30X20",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"218/020-K; 218-30X20 /
218-30X20/41;020;025;
030;040;050;060 | 41",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"231/210;214;617;620;
624;620-İ;
624-İ ;025-İ | 025-İ",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"268/214;217;
220;228
617;620;624;628;
522;530;538;548;212 | 522",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"268/214;217;
220;228
617;620;624;628;
522;530;538;548;212 | 530",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"268/214;217;
220;228
617;620;624;628;
522;530;538;548;212 | 538",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"268/214;217;
220;228
617;620;624;628;
522;530;538;548;212 | 548",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"279/209;214
;212,620;210 | 212,620",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
291/;540 | 540,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"299/ 938,925 | 938,925",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"310/017;022,015 | 022,015",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"311/517;520
;525;530; 
 | 517",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"311/517;520
;525;530; 
 | 520",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"311/517;520
;525;530; 
 | 525",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"311/517;520
;525;530; 
 | 530",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
320/ 224 X 12 | 224 X 12,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
321/ 218 X 15 | 218 X 15,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
326/218 x 17 | 218 x 17,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"329 / 224 x 10(10 içcap)
;224 x12 | 224 x 10(10 içcap)",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"329 / 224 x 10(10 içcap)
;224 x12 | 224 x12",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
330/215 x29  | 215 x29,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"333/224x12-d 
(delikli) | 224x12-d",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"333/224x12-d 
(delikli) | (delikli)",karisik_cozulemeyen,TOKEN_COZULEMEDI
"334/826 
 ( zmk0058) | ( zmk0058)",karisik_cozulemeyen,TOKEN_COZULEMEDI
"336/928
İNGİLTERE | İNGİLTERE",karisik_cozulemeyen,TOKEN_COZULEMEDI
361/041 | 041,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
365/208-ss28  ; 210-ss34 | 208-ss28,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
365/208-ss28  ; 210-ss34 | 210-ss34,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"382/834 -M;850-P,834
TEKLİ | TEKLİ",karisik_cozulemeyen,TOKEN_COZULEMEDI
"387/220;228;
216_220_PARÇASI | 216_220_PARÇASI",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"390/020;025;030,027.5 
( STANDART ALT ) | 030,027.5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"390/020;025;030,027.5 
( STANDART ALT ) | ( STANDART ALT )",karisik_cozulemeyen,TOKEN_COZULEMEDI
"475/010;012;018,020 | 018,020",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
533/124;124;D | 124,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
533/124;124;D | 124,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
533/124;124;D | D,karisik_cozulemeyen,TOKEN_COZULEMEDI
"542/015,012 | 015,012",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
636/105;209 | 105,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
656_207/656_620 | 656_620,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
657_208/657_620 | 657_620,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
658_208/658_620 | 658_620,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
659_210/659_620 | 659_620,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
660_211/660_620 | 660_620,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
661_210/661_620 | 661_620,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
662_210/662_620 | 662_620,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
763_017/212 | 212,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
798_620/210 | 210,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
819208/212620 | 212620,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
819208/212/620 | 212,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
865_018/015/12 | 12,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"873_027,5/22,5/17,5 | 22,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"873_027,5/22,5/17,5 | 17,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"877_011,5/015,5 | 015,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"918_207,5/
007,5 | 007,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"919_014/023,5 | 023,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"930_008/10/12/
14/18/20 | 10",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"930_008/10/12/
14/18/20 | 12",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"930_008/10/12/
14/18/20 | 14",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"930_008/10/12/
14/18/20 | 20",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"934_015/20/25/30
aynı ebatlarda 
taşlı | 20",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"934_015/20/25/30
aynı ebatlarda 
taşlı | 25",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"934_015/20/25/30
aynı ebatlarda 
taşlı | 30",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"934_015/20/25/30
aynı ebatlarda 
taşlı | aynı ebatlarda",karisik_cozulemeyen,TOKEN_COZULEMEDI
"934_015/20/25/30
aynı ebatlarda 
taşlı | taşlı",karisik_cozulemeyen,TOKEN_COZULEMEDI
"939_060
taşlı ve kulplu | taşlı ve kulplu",karisik_cozulemeyen,TOKEN_COZULEMEDI
"946_No:24
kuşgözü | kuşgözü",karisik_cozulemeyen,TOKEN_COZULEMEDI
"951207,5/07,5 | 07,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
960018/024/15 | 15,karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"968206,5/
207,5/208,5
209,5/210,5
 | 207,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"968206,5/
207,5/208,5
209,5/210,5
 | 208,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"968206,5/
207,5/208,5
209,5/210,5
 | 209,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
"968206,5/
207,5/208,5
209,5/210,5
 | 210,5",karisik_cozulemeyen,AILE_MM_LISTESINDE_YOK
